month,airline_code,airline_name,announcement_date,announcement_time,announcement_id,announcement_title,source_pdf_url,source_quality,retrieved_at
2022-08,600029,China Southern,2022-09-15,2022-09-15T00:00:00+08:00,1214594181,南方航空2022年8月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-15/1214594181.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-08,600115,China Eastern,2022-09-16,2022-09-16T00:00:00+08:00,1214600776,中国东方航空股份有限公司2022年8月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-16/1214600776.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-08,600221,Hainan Airlines Holdings,2022-09-17,2022-09-17T00:00:00+08:00,1214610864,ST海航：2022年8月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-17/1214610864.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-08,601021,Spring Airlines,2022-09-16,2022-09-16T00:00:00+08:00,1214600020,春秋航空2022年8月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-16/1214600020.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-08,601111,Air China,2022-09-16,2022-09-16T00:00:00+08:00,1214600872,中国国际航空股份有限公司2022年8月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-16/1214600872.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-08,603885,Juneyao Airlines,2022-09-16,2022-09-16T00:00:00+08:00,1214600080,上海吉祥航空股份有限公司2022年8月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-09-16/1214600080.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,600029,China Southern,2022-10-15,2022-10-15T00:00:00+08:00,1214791760,南方航空2022年9月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-15/1214791760.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,600115,China Eastern,2022-10-15,2022-10-15T00:00:00+08:00,1214794672,中国东方航空股份有限公司2022年9月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-15/1214794672.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,600221,Hainan Airlines Holdings,2022-10-18,2022-10-18T00:00:00+08:00,1214816727,海航控股：2022年9月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-18/1214816727.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,601021,Spring Airlines,2022-10-15,2022-10-15T00:00:00+08:00,1214791509,春秋航空2022年9月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-15/1214791509.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,601111,Air China,2022-10-25,2022-10-25T00:00:00+08:00,1214883253,中国国际航空股份有限公司2022年9月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-25/1214883253.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-09,603885,Juneyao Airlines,2022-10-15,2022-10-15T00:00:00+08:00,1214791628,上海吉祥航空股份有限公司2022年9月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-10-15/1214791628.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,600029,China Southern,2022-11-16,2022-11-16T00:00:00+08:00,1215115682,南方航空2022年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-16/1215115682.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,600115,China Eastern,2022-11-16,2022-11-16T00:00:00+08:00,1215116078,中国东方航空股份有限公司2022年10月运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-16/1215116078.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,600221,Hainan Airlines Holdings,2022-11-17,2022-11-17T00:00:00+08:00,1215128675,海航控股：2022年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-17/1215128675.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,601021,Spring Airlines,2022-11-16,2022-11-16T00:00:00+08:00,1215115623,春秋航空2022年10月份主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-16/1215115623.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,601111,Air China,2022-11-16,2022-11-16T00:00:00+08:00,1215115810,中国国际航空股份有限公司2022年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-16/1215115810.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-10,603885,Juneyao Airlines,2022-11-15,2022-11-15T00:00:00+08:00,1215107787,上海吉祥航空股份有限公司2022年10月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-11-15/1215107787.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
2022-11,600029,China Southern,2022-12-16,2022-12-16T00:00:00+08:00,1215365535,南方航空2022年11月主要运营数据公告,http://static.cninfo.com.cn/finalpage/2022-12-16/1215365535.PDF,issuer_cninfo_operating_release,2026-08-06T21:36:36.493291+00:00
