dataset_id,company,ticker,period,target_year,row_status,ask_native_mn,target_revenue_native_mn,lf_prior,lf_normal,lf_shrink_lambda,yield_prior,yield_normal,yield_pressure_score,yield_modifier_delta_pct,recovery_overlay_active,revenue_base_decomposition_native_mn,revenue_dynamic_shrinkage_native_mn,revenue_residual_yield_native_mn,revenue_recovery_overlay_native_mn,error_base_decomposition_pct,error_dynamic_shrinkage_pct,error_residual_yield_pct,error_recovery_overlay_pct,retrieved_at
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2022,historical_evaluated,51644.05,26951.0,0.6413619813380822,0.8077778541740201,0.5,0.6760471149595001,0.565709637922024,0.1143007870456145,0.17145118056842173,False,22392.391003720775,23233.09814278888,23272.931563837315,23272.931563837315,-16.914433587915944,-13.795042325743456,-13.64724290810242,-13.64724290810242,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2023,historical_evaluated,136369.45,64277.0,0.6634965693046924,0.7696574332945849,0.609274075973965,0.7865311178979532,0.5766614463427524,1.5603988124617425,2.3405982186926138,False,71165.85641424327,67731.53089266548,69316.85389823245,69316.85389823245,10.717451676716827,5.374443257565664,7.8408355994095125,7.8408355994095125,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2024,historical_evaluated,152657.68,67921.0,0.7652749937760986,0.7652749937760986,0.9,0.6159152925547333,0.5876132547634809,0.6384173628607837,0.9576260442911754,False,71954.36879271713,71623.7299387328,72309.61743051888,72309.61743051888,5.93832362997766,5.451524475100178,6.461355737575825,6.461355737575825,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Eastern Airlines,600115.SH,H2,2025,historical_evaluated,161906.06,73119.0,0.8434021793073235,0.7865264239750593,0.7392758542856063,0.5275342903890601,0.5766614463427524,0.0609572424253531,0.09143586363802965,False,72035.82224792097,72487.5643504264,72553.84398092038,72553.84398092038,-1.4813902707627724,-0.8635726002456212,-0.7729263516727758,-0.7729263516727758,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2020,historical_evaluated,214794.21,92561.0,0.8280750887522609,0.8242778083294315,0.596839480017179,0.5416849074612547,0.5526486617704273,-2.1159031404605413,-3.0,False,96347.18393815588,96953.80120501743,94045.1871688669,94045.1871688669,4.090474323047366,4.745844583590753,1.6034692460830113,1.6034692460830113,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2021,historical_evaluated,213932.9,101644.0,0.7142788439222826,0.8231399049459993,0.5,0.6033060501505121,0.553518034284419,0.6054744173475102,0.9082116260212653,False,92189.83676003185,95121.14773162846,95985.04905413196,95985.04905413196,-9.301250678808536,-6.417351017641515,-5.567422519645071,-5.567422519645071,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2022,historical_evaluated,153885.00999999995,87059.0,0.7123806576735042,0.8220020015625672,0.5,0.6669481159194722,0.5543874067984109,-0.0301149905356011,-0.04517248580340165,False,73113.99021113628,72094.97511457674,72062.40802217813,72062.40802217813,-16.017884180686348,-17.18837212169134,-17.22578019253824,-17.22578019253824,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2023,historical_evaluated,316221.57999999996,159929.0,0.6632657072966368,0.7681404227424249,0.5833262712310026,0.8529622555457635,0.5788467284744615,1.4673551884756388,2.201032782713458,False,178899.39074130746,165151.99070648992,168787.04016324366,168787.04016324366,11.861757868371248,3.2658183984705103,5.538732914758215,5.538732914758215,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2024,historical_evaluated,362924.2899999999,174224.0,0.7808746955220452,0.7808746955220452,0.9,0.6476708750350251,0.6033060501505121,0.4886632740916903,0.7329949111375353,False,183548.88611779752,182291.5941035591,183627.7822117697,183627.7822117697,5.352239713126505,4.63058711977633,5.397523998857623,5.397523998857623,2026-08-10T21:05:59.950266+00:00
airline_earnings_model_v4,China Southern Airlines,600029.SH,FY,2025,historical_evaluated,386260.92999999993,182256.0,0.8430817623146689,0.8014383485423062,0.7687207326071204,0.569406276365525,0.5863561632580185,-0.0358434491445355,-0.05376517371680324,False,185426.89514752515,184570.61580900705,184471.38109678717,184471.38109678717,1.739802885789854,1.2699805817131038,1.2155326007303735,1.2155326007303735,2026-08-10T21:05:59.950266+00:00
