date,series_id,metric,index_value,source_agency,yield_pct,yield_bp,delta_bp_1m,delta_bp_12m,ip_reval_pre_tax_hkdm,ip_reval_calibrated_hkdm,eps_impact_hkd
2009-07-01,overall,rental_yield,3.7452767,Centaline Property Agency,3.7452767,374.52767,0.9602100000000178,-64.41973000000002,-235.47381442105703,-98.89900205684395,-0.013050343196787353
2009-08-01,overall,rental_yield,3.80131,Centaline Property Agency,3.80131,380.131,5.603329999999971,-69.50960000000009,-1374.113463263151,-577.1276545705234,-0.07615561131924553
2009-09-01,overall,rental_yield,3.8405323,Centaline Property Agency,3.8405323,384.05323,3.922230000000013,-68.45402999999999,-961.8546558947401,-403.9789554757908,-0.05330755521889428
2009-10-01,overall,rental_yield,3.8905823,Centaline Property Agency,3.8905823,389.05823000000004,5.005000000000052,-86.97584,-1227.3840526315919,-515.5013021052686,-0.06802362785215751
2009-11-01,overall,rental_yield,3.956604,Centaline Property Agency,3.956604,395.6604,6.602169999999944,-91.43367000000006,-1619.0605735789336,-680.0054409031521,-0.08973098003929475
2009-12-01,overall,rental_yield,3.9280367,Centaline Property Agency,3.9280367,392.80367,-2.8567299999999705,-51.028629999999964,700.5604085263085,294.23537158104955,0.03882620147734063
2010-01-01,overall,rental_yield,3.8305612,Centaline Property Agency,3.8305612,383.05612,-9.74754999999999,-29.801750000000027,2390.407077368419,1003.9709724947359,0.13248026247158648
2010-02-01,overall,rental_yield,3.7937992,Centaline Property Agency,3.7937992,379.37992,-3.6761999999999944,-25.954740000000015,901.5203305263145,378.63853882105207,0.049963728413606086
2010-03-01,overall,rental_yield,3.790589,Centaline Property Agency,3.790589,379.0589,-0.3210200000000327,-18.481960000000015,78.72424147369223,33.06418141895074,0.004363025976643677
2010-04-01,overall,rental_yield,3.829719,Centaline Property Agency,3.829719,382.9719,3.913000000000011,2.0095999999999776,-959.5911684210554,-403.02829073684325,-0.053182109048050014
2010-05-01,overall,rental_yield,3.8679168,Centaline Property Agency,3.8679168,386.79168000000004,3.819780000000037,9.40115000000003,-936.7306806315879,-393.4268858652669,-0.05191514349592687
2010-06-01,overall,rental_yield,3.858797,Centaline Property Agency,3.858797,385.8797,-0.9119800000000282,12.312240000000031,223.646295368428,93.93144405473976,0.012394842782939437
2010-07-01,overall,rental_yield,3.8161376,Centaline Property Agency,3.8161376,381.61375999999996,-4.265940000000057,7.086089999999956,1046.143201894751,439.3801447957954,0.05797896403589084
2010-08-01,overall,rental_yield,3.7998683,Centaline Property Agency,3.7998683,379.98683,-1.626929999999959,-0.14416999999997415,398.97461273683206,167.56933734946946,0.02211182434795338
2010-09-01,overall,rental_yield,3.8033526,Centaline Property Agency,3.8033526,380.33526,0.34843000000000757,-3.71796999999998,-85.44603905263344,-35.887336402106044,-0.004735558971533968
2010-10-01,overall,rental_yield,3.8044186,Centaline Property Agency,3.8044186,380.44186,0.10660000000001446,-8.616370000000018,-26.14168631579302,-10.979508252633067,-0.0014488149308773022
2010-11-01,overall,rental_yield,3.7675495,Centaline Property Agency,3.7675495,376.75495,-3.6869100000000117,-18.905449999999973,904.1467607368451,379.7416395094749,0.05010928946341583
2010-12-01,overall,rental_yield,3.7471492,Centaline Property Agency,3.7471492,374.71492,-2.0400300000000016,-18.088750000000005,500.2797780000004,210.11750676000017,0.027726321983463646
2011-01-01,overall,rental_yield,3.641229,Centaline Property Agency,3.641229,364.1229,-10.59201999999999,-18.933220000000006,2597.497788842103,1090.9490713136834,0.14395756776875152
2011-02-01,overall,rental_yield,3.5298445,Centaline Property Agency,3.5298445,352.98445,-11.138450000000034,-26.395470000000046,2731.4996805263245,1147.2298658210561,0.151384171358613
2011-03-01,overall,rental_yield,3.4834847,Centaline Property Agency,3.4834847,348.34847,-4.635979999999961,-30.710429999999974,1136.8886953684116,477.49325205473286,0.06300822742258527
2011-04-01,overall,rental_yield,3.4484587,Centaline Property Agency,3.4484587,344.84587000000005,-3.5025999999999726,-38.12602999999996,858.948128421046,360.7582139368393,0.047604307475517
2011-05-01,overall,rental_yield,3.4064,Centaline Property Agency,3.4064,340.64,-4.205870000000061,-46.151680000000056,1031.4121409473835,433.19309919790106,0.057162544590320656
2011-06-01,overall,rental_yield,3.4070094,Centaline Property Agency,3.4070094,340.70094,0.060940000000016425,-45.17876000000001,-14.944412421056661,-6.276653216843798,-0.0008282437325297809
